Tecnologia,Localidad,Accesos
ADSL,Pavón,51.0
ADSL,Pedernales,154.0
ADSL,Pedro Luro,379.0
ADSL,Pehuajó,3701.0
ADSL,Pellegrini,240.0
ADSL,Perdriel,10.0
ADSL,Pergamino,1998.0
ADSL,Pichanal,362.0
ADSL,Piedritas,368.0
ADSL,Pigüé,164.0
ADSL,Pilar,2807.0
ADSL,Pinamar,6062.0
ADSL,Pineyro,9.0
ADSL,Piquillín,119.0
ADSL,Playa Unión,536.0
ADSL,Plaza Clucellas,33.0
ADSL,Plottier,2357.0
ADSL,Pontevedra,405.0
ADSL,Porteña,404.0
ADSL,Posadas,3431.0
ADSL,Pozo del Tigre,16.0
ADSL,Presidencia Roque Sáenz Peña,1369.0
ADSL,Presidencia de la Plaza,101.0
ADSL,Presidente Derqui,1565.0
ADSL,Profesor Salvador Mazza,841.0
ADSL,Pueblo Esther,2686.0
ADSL,Pueblo Independencia,4.0
ADSL,Pueblo Pablo Torelo (Est. Otumpa),1.0
ADSL,Pueblo Uranga,10.0
ADSL,Puente de Hierro,778.0
ADSL,Puerto Deseado,1437.0
ADSL,Puerto Iguazú,430.0
ADSL,Puerto Madryn,2850.0
ADSL,Puerto Piray,252.0
ADSL,Puerto Rico,3478.0
ADSL,Puerto San Antonio Este,1.0
ADSL,Puerto San Julián,690.0
ADSL,Puerto Santa Cruz,565.0
ADSL,Puerto Tirol,369.0
ADSL,Pujato,876.0
ADSL,Punta Alta  (Est Almirante Solier),634.0
ADSL,Purmamarca,63.0
ADSL,Pérez,331.0
ADSL,Quilino,138.0
ADSL,Quilmes,56.0
ADSL,Quilmes Oeste,44.0
ADSL,Quimilí,272.0
ADSL,Quitilipi,411.0
ADSL,Rada Tilly,910.0
ADSL,Rafael Calzada,9.0
ADSL,Rafael Castillo,12.0
ADSL,Rafaela,1932.0
ADSL,Ramallo,347.0
ADSL,Ramona,1.0
ADSL,Ramos Mejía,518.0
ADSL,Ramírez de Velazco,1.0
ADSL,Ramón Biaus,3.0
ADSL,Rancagua,109.0
ADSL,Ranchos,1202.0
ADSL,Ranelagh,10.0
ADSL,Rapelli,1.0
ADSL,Rauch,896.0
ADSL,Rawson,3223.0
ADSL,Realicó,133.0
ADSL,Reconquista,393.0
ADSL,Recreo,813.0
ADSL,Remedios De Escalada,30.0
ADSL,Remedios Escalada De San Martin,15.0
ADSL,Resistencia,2811.0
ADSL,Ricardo Rojas,1055.0
ADSL,Ricardone,331.0
ADSL,Rincón de Milberg,635.0
ADSL,Rincón de los Sauces,690.0
ADSL,Rivadavia,2147.0
ADSL,Rodeo del Medio,151.0
ADSL,Rojas,522.0
ADSL,Roldán,1508.0
ADSL,Roque Pérez,157.0
ADSL,Rosario,7266.0
ADSL,Rosario de Lerma,655.0
ADSL,Rosario de la Frontera,728.0
ADSL,Rosario del Tala,945.0
ADSL,Roversi,1.0
ADSL,Rufino,280.0
ADSL,Ruiz de Montoya,2.0
ADSL,Russell,90.0
ADSL,Río Ceballos,998.0
ADSL,Río Colorado,605.0
ADSL,Río Cuarto,3967.0
ADSL,Río Gallegos,2753.0
ADSL,Río Grande,6225.0
ADSL,Río Mayo,140.0
ADSL,Río Piedras,17.0
ADSL,Río Primero,1067.0
ADSL,Río Seco,11.0
ADSL,Río Segundo,868.0
ADSL,Río Tercero,67.0
ADSL,Sa Pereyra,54.0
ADSL,Saenz Peña,71.0
ADSL,Saira,253.0
ADSL,Saladas,627.0
ADSL,Saladillo,548.0
ADSL,Saldungaray,616.0
ADSL,Saldán,21.0
ADSL,Salliqueló,128.0
ADSL,Salsacate,71.0
ADSL,Salsipuedes,891.0
ADSL,Salta,7105.0
ADSL,Salto,781.0
ADSL,Salto Grande,493.0
ADSL,Salvador María,87.0
ADSL,Sampacho,352.0
ADSL,San Agustín,110.0
ADSL,San Andrés,320.0
ADSL,San Andrés de Giles,388.0
ADSL,San Antonio,1.0
ADSL,San Antonio De Padua,4.0
ADSL,San Antonio Oeste,617.0
ADSL,San Antonio de Areco,965.0
ADSL,San Antonio de Litín,368.0
ADSL,San Antonio de Obligado,122.0
ADSL,San Basilio,37.0
ADSL,San Benito,91.0
ADSL,San Bernardo,147.0
