Año,Trimestre,Provincia,Mbps (Media de bajada)
2020,2020Q4,Chaco,32.452046764181
2020,2020Q4,Chubut,7.38308762641474
2020,2020Q4,Córdoba,35.1206012418839
2020,2020Q4,Corrientes,25.4467008966306
2020,2020Q4,Entre Ríos,24.0532782530605
2020,2020Q4,Formosa,19.6983490087788
2020,2020Q4,Jujuy,25.2063932841615
2020,2020Q4,La Pampa,9.87560517086093
2020,2020Q4,La Rioja,12.5346559805983
2020,2020Q4,Mendoza,11.0931713194572
2020,2020Q4,Misiones,24.9566177796804
2020,2020Q4,Neuquén,33.9078648667739
2020,2020Q4,Río Negro,21.63671918985
2020,2020Q4,Salta,25.3224396507447
2020,2020Q4,San Juan,6.41286739795318
2020,2020Q4,San Luis,21.2529540821891
2020,2020Q4,Santa Cruz,7.49210862811905
2020,2020Q4,Santa Fe,27.2943524462156
2020,2020Q4,Santiago Del Estero,11.280765527512
2020,2020Q4,Tierra Del Fuego,8.48680694933787
2020,2020Q4,Tucumán,36.442246829153
2020,2020Q3,Buenos Aires,48.3766239081151
2020,2020Q3,Capital Federal,63.8085202560717
2020,2020Q3,Catamarca,36.5404366073298
2020,2020Q3,Chaco,30.8027269485642
2020,2020Q3,Chubut,7.40207444184479
2020,2020Q3,Córdoba,33.5111949741979
2020,2020Q3,Corrientes,23.851523971243
2020,2020Q3,Entre Ríos,22.4325986462062
2020,2020Q3,Formosa,18.2828320694304
2020,2020Q3,Jujuy,21.91041968687
2020,2020Q3,La Pampa,10.6976309054021
2020,2020Q3,La Rioja,12.1947037670582
2020,2020Q3,Mendoza,10.1874910345956
2020,2020Q3,Misiones,24.1417618725215
2020,2020Q3,Neuquén,31.4609040270338
2020,2020Q3,Río Negro,21.0777787032588
2020,2020Q3,Salta,25.2611559240277
2020,2020Q3,San Juan,6.02786479358268
2020,2020Q3,San Luis,20.8499281337887
2020,2020Q3,Santa Cruz,6.64936371202663
2020,2020Q3,Santa Fe,25.6909413412681
2020,2020Q3,Santiago Del Estero,10.8790172706597
2020,2020Q3,Tierra Del Fuego,8.50667605547561
2020,2020Q3,Tucumán,34.8358016986155
2020,2020Q2,Buenos Aires,45.6619736321228
2020,2020Q2,Capital Federal,60.4844973584038
2020,2020Q2,Catamarca,34.9259564285714
2020,2020Q2,Chaco,27.9522846743643
2020,2020Q2,Chubut,7.60548798455908
2020,2020Q2,Córdoba,30.9875776371395
2020,2020Q2,Corrientes,22.1503060625758
2020,2020Q2,Entre Ríos,20.4486211784426
2020,2020Q2,Formosa,16.8702589931144
2020,2020Q2,Jujuy,15.8640136318626
2020,2020Q2,La Pampa,8.0288622555984
